,fecha,tweets
645,2020-04-23 23:07:16,Es evidente el mal manejo de la emergencia sanitaria por #Covid_19ec la falta de liderazgo en muy notoria el gobie… https://t.co/3PjVtfDllv
644,2020-04-23 23:22:11,@veronicaRuizDo @piensaecuadorec @GaloCabanillaEC Lamentando mucho el #Gobierno está ocupado en campaña anticipada… https://t.co/rY5Sj4p4qz
643,2020-04-24 00:05:03,Los resultados de contagiados de coronavirus se duplicaron en Ecuador ya son 22 160. ► https://t.co/mNp7sZkSS6… https://t.co/k5GJDSekhx
642,2020-04-24 00:15:00,Mientras la gran mayoría de las industrias del país están paralizadas por la emergencia sanitaria del #Covid_19ec… https://t.co/73zdq9fIks
641,2020-04-24 00:27:26,Y entonces la curva no se aplanó ¿? #Covid_19ec https://t.co/JCjLfaD5mE
640,2020-04-24 01:00:00,Para entender la información y dialogar con fundamento sobre el coronavirus es necesario aprender el nuevo vocabula… https://t.co/cYnRW0fVx2
639,2020-04-24 01:09:33,Situación del COVID19 en #Ecuador #Guayas #Guayaquil y #Samborondón al 23.04.2020 actualizado a las 08h00 SEGÚN I… https://t.co/dcvmiKSNQq
638,2020-04-24 02:32:23,"#ChoUD 15 al 21 Abril 2020

PALABRAS MÁS USADAS 
30158 tweets medidos con hashtags 
#COVID19 #COVID_19 #COVID19EC… https://t.co/Lza2O1AsJh"
637,2020-04-24 02:38:34,"#ChoUD 15 al 21 Abril 2020

CUENTAS MÁS TUITERAS
2499 cuentas tuiteando con hashtags 
#COVID19 #COVID_19 #COVID19EC… https://t.co/4PEjskPKcX"
636,2020-04-24 02:54:06,Como se burlan de la necesidad del pueblo #Covid_19 #Covid_19ec en nuestro sector de la Balerio Estacio pasaron ind… https://t.co/Vm7XNwvjsx
635,2020-04-24 03:13:23,@CarlosVerareal Pues estoy de acuerdo lei información medica estudios q confirma el uso de esta técnica xq segun do… https://t.co/akgvDSLyEz
634,2020-04-24 03:20:04,"Esperemos que el gobierno desmienta esto así como intentan desmentir un audio ""falso""
#BastaDeNoticiasFalsas… https://t.co/MbDX5bOns1"
633,2020-04-24 03:21:41,#LadyVereda es una bocanada de aire para el Gobierno de @ottosonnenh y el ministro @Lenin  que en un día se duplic… https://t.co/fgpm21WjHe
632,2020-04-24 03:29:46,"Consejo:
Antes de enamorarse de alguien aplíquenle el FODA.📝😌
#LoveAlarm 
#DiaDelLibro 
#cuarentena 
#SVGala10… https://t.co/jLoWIJxwN7"
631,2020-04-24 03:39:42,Guayaquil || Presidente Nacional del Colegio de #TAPS @CNTAPSECUADOR se reunió con el Viceministro de Salud Dr.… https://t.co/KeQOiXjllB
630,2020-04-24 03:46:20,@merycris77 @pablesq @ramirogarciaf No son lo mismo 10 olas de 1 metro que 1 ola de 10 metros. De lo que se sabe e… https://t.co/JTw1b7i13R
629,2020-04-24 04:11:17,Con el nombramiento de Gustavo Isch en @ComunicacionEc  esperamos que  el país tenga una vocería más precisa  y sob… https://t.co/vjhi5jJObk
628,2020-04-24 04:30:44,Me quedé corto cuando pensaba en 100 fallecidos por día. ¿Cuantos contagiados hay si tenemos estos datos de los fal… https://t.co/8X8mQCOxvQ
627,2020-04-24 04:51:06,Hace siglos había una norma muy reveladora: los esclavos debían seguir siendo analfabetos. En el sur de antes de la… https://t.co/7rcgjIh639
626,2020-04-24 04:56:46,#BuenasNoticias | 51 pacientes con diagnóstico de #Covid_19ec  han recibido el alta en el hospital del @IESSec de… https://t.co/GMiVDZGY0I
625,2020-04-24 05:26:56,La RED GLOBAL CIUDADANA exhortamos al país y al estado ecuatoriano y organismos de defensa de los #DerechosHumanos… https://t.co/FeC6wvOTA7
