,fecha,tweets
96,2020-04-03 00:28:43,"Ante la inacción del gobierno, en #Manabí debemos prepararnos para el peor escenario adverso dentro de la emergenci… https://t.co/smsGUo76Pp"
97,2020-04-03 00:28:37,RT @wgomezr: @AsambleaEcuador @cesarlitardo @somos_rc @SomosRC_Ec es urgente que USTEDES TOMEN UNA DECISIÓN FRENTE A LA FALTA DE UN GOBERNA…
98,2020-04-03 00:28:26,"Fuerzas hermanos, me duele mucho el sufrimiento del pueblo ecuatoriano 🇧🇷🇪🇨 #EcuadorEnEmergencia #Guayaquil"
99,2020-04-03 00:28:25,RT @mashinancyg: X FAVOR paremos al #Covid_19ec le exigimos al gobierno de @Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca…
100,2020-04-03 00:28:20,"RT @ElCuervoNica: 🆘⚠️🆘 .@Lenin aquí están tus noticias falsas a ver si te ""haces eco"" de ellas....

....engendr0 del mal!

#EcuadorEnEmerge…"
101,2020-04-03 00:28:19,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
102,2020-04-03 00:28:13,"RT @Vivi_GuevaraV: Culpará y denunciará al Presidente de El Salvador?
👇
https://t.co/guyttFb68T
👇
https://t.co/4k9VKOi4d0
👇
#EcuadorEnEmerg…"
103,2020-04-03 00:28:11,RT @mashinancyg: X FAVOR paremos al #Covid_19ec le exigimos al gobierno de @Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca…
104,2020-04-03 00:28:11,@Lenin Matón de quinta habla de que son noticias falsas y más imajenes hablan por si solas #EcuadorEnEmergencia #RenunciaMoreno
105,2020-04-03 00:28:07,RT @EcuadorVideo: 𝗣𝗹𝗮𝘆 &amp; 𝗥𝗧 ▶️ Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar…
106,2020-04-03 00:28:00,La diferencia entre Guayaquil y Quito está en sus lideres. Una de estas ciudades las lidera un médico. #EcuadorEnEmergencia
107,2020-04-03 00:27:58,Adivine el personaje  #EcuadorEnEmergencia #Covid_19ec #EcuadorSOS #QuedateEnTuCasa #GuayaquilSOS  #Guayaquil https://t.co/y6sVTqaveo
108,2020-04-03 00:27:49,Gente entienda!! Si estamos en cuarentena es para no salir y cuarentena obligatoria es para la gente porfiada! Así… https://t.co/ptLBQI4WRJ
109,2020-04-03 00:27:46,"RT @bytati_: Viene a darnos lecciones de humanismo el Presidente que decidió pagar 324 millones en deuda externa, en lugar de comprar kits…"
110,2020-04-03 00:27:45,"RT @AgualsacaJose: Nuestra tarea de hoy era hacer justicia por todxa los profesionales de salud, familias víctimas, gente indignada. Por es…"
111,2020-04-03 00:27:34,"RT @GonzalezBready: #COVID19 ☣️

🇪🇨 #Ecuador

La problemática de los cadáveres de infectados por Covid-19 en las casas radica en los más qu…"
112,2020-04-03 00:27:33,"Ya somos famosos. Gracias @Lenin 
¿Será que @MashiRafael pagó este vídeo?

@ramiroaguilart
@Sandinin… https://t.co/TYAnuOyWmW"
113,2020-04-03 00:27:31,RT @CarmenN02585091: #EcuadorEnEmergencia 🔊De verdad que duele‼️Personas muriendo en la calle a consecuencia del #COVID19. Qué pena‼️Nada m…
114,2020-04-03 00:27:30,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
115,2020-04-03 00:27:27,Ikiam otro logro de la Revolución Ciudadana #EcuadorEnEmergencia #CoronavirusEcuador https://t.co/qyB7AlngFQ
116,2020-04-03 00:27:26,@revistavistazo @CB_Samborondon para el #EcuadorEnEmergencia o para el gobierno?
117,2020-04-03 00:27:25,RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cadáveres diar…
118,2020-04-03 00:27:24,RT @ghidalgoandrade: Se la pasan en pendejadas y quitan el tiempo a quienes sí trabajan. Una resolución no regula nada ni tiene fuerza vinc…
119,2020-04-03 00:27:24,RT @CarmenN02585091: #EcuadorEnEmergencia 🔊De verdad que duele‼️Personas muriendo en la calle a consecuencia del #COVID19. Qué pena‼️Nada m…
120,2020-04-03 00:27:23,"Es ironía que se Miles de acogan a #DDHH,cuando Militares a lo largo de la historia han masacrado a la clase obrera… https://t.co/Sy5U6RyXFN"
121,2020-04-03 00:27:22,RT @rudytomastejada: @PedroPabloDuart @aguschmer @Cupsfire_gye @EmergenciasEc @tinocotania Favor su ayuda con el señor. #GuayaquilSOS #Ecua…
122,2020-04-03 00:27:17,"RT @veronicaariasf: En medio de todo el dolor y la angustia por esta terrible pandemia, también hay esperanza, en #Loja recibieron el alta…"
123,2020-04-03 00:27:14,"RT @veronicaariasf: En medio de todo el dolor y la angustia por esta terrible pandemia, también hay esperanza, en #Loja recibieron el alta…"
124,2020-04-03 00:27:13,"RT @FUTtrabajadores: #Mañana #Cacerolazo | 20:00
Por la vida, la salud, el empleo y alimento para los más pobres. ✊
#SOSGuayaquil 
#Ecuador…"
125,2020-04-03 00:27:13,"RT @Efuentesec: Falso el Titular de la noticia. Unos bancos si lo han hecho para todos los tarjetahabientes; otros, es bajo petición y anál…"
126,2020-04-03 00:27:10,"RT @liliDESPL: Aquí no hay #FakeNews aquí hay una bola de inútiles. Pedimos ayuda, no tenemos #presidente y estamos muriendo en las calles…"
127,2020-04-03 00:27:08,"Según otros lo que pasa en #Ecuador es un #FakeNews, la gente por medio de redes piden ayuda para sus familiares si… https://t.co/aTsniBKOY2"
128,2020-04-03 00:27:01,RT @wgomezr: @FiscaliaEcuador a qué hora mandan a intervenir a este medio q está desestabilizando a su Gobierno? Ahh perdón no es CORREISTA…
129,2020-04-03 00:26:55,RT @mashinancyg: X FAVOR paremos al #Covid_19ec le exigimos al gobierno de @Lenin SOLICITE AYUDA INTERNACIONAL PORQ su gobierno no tiene ca…
130,2020-04-03 00:26:54,RT @liss_joha: Villamar pida que también le den de baja a CNN  😂 @fabovillamar @Lenin #SOSGuayaquil #SOSEcuador #EcuadorEnEmergencia
